marker	value	polarity	item1	item2	item	complexity	Worker_ID	variable
	4.0	Neg	alright	alright	Alright	testaverage	3	Alright_testaverage
	4.0	Neg	ok	ok	OkOk	testaverage	3	OkOk_testaverage
	6.0	Pos	certain	uncertain	Certain_Uncertain	Morph	5	Pos_Morph_Certain_Uncertain
	7.0	Neg	unlucky	lucky	Lucky_Unlucky	Morph	5	Neg_Morph_Lucky_Unlucky
	4.0	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	5	Neg_Morph_Accurate_Inaccurate
	7.0	Neg	unhappy	happy	Happy_Unhappy	Morph	5	Neg_Morph_Happy_Unhappy
	4.0	Neg	uninteresting	interesting	Interesting_Uninteresting	Morph	5	Neg_Morph_Interesting_Uninteresting
	7.0	Pos	fair	unfair	Fair_Unfair	Morph	5	Pos_Morph_Fair_Unfair
	7.0	Pos	polite	impolite	Polite_Impolite	Morph	5	Pos_Morph_Polite_Impolite
	6.0	Pos	possible	impossible	Possible_Impossible	Morph	5	Pos_Morph_Possible_Impossible
	6.0	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	5	Pos_Morph_Satisfactory_Unsatisfactory
	4.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	5	Neg_Morph_Friendly_Unfriendly
	7.0	Pos	useful	useless	Useful_Useless	Morph	5	Pos_Morph_Useful_Useless
	6.0	Pos	good	bad	Good_Bad	Nonmorph	5	Pos_Nonmorph_Good_Bad
	7.0	Pos	strong	weak	Strong_Weak	Nonmorph	5	Pos_Nonmorph_Strong_Weak
	4.0	Neg	mean	kind	Kind_Mean	Nonmorph	5	Neg_Nonmorph_Kind_Mean
	7.0	Pos	tall	short	Tall_Short	Nonmorph	5	Pos_Nonmorph_Tall_Short
	7.0	Neg	sad	happy	Happy_Sad	Nonmorph	5	Neg_Nonmorph_Happy_Sad
	4.0	Neg	short	long	Long_Short	Nonmorph	5	Neg_Nonmorph_Long_Short
	7.0	Pos	polite	rude	Polite_Rude	Nonmorph	5	Pos_Nonmorph_Polite_Rude
	7.0	Neg	poor	rich	Rich_Poor	Nonmorph	5	Neg_Nonmorph_Rich_Poor
	6.0	Pos	satisfactory	frustrating	Satisfactory_Frustrating	Nonmorph	5	Pos_Nonmorph_Satisfactory_Frustrating
	1.0	Neg	interesting	boring	Interesting&Uninteresting	testrating	5	Neg_interestingboring
	1.0	Pos	good	bad	Good&Bad	testrating	5	Pos_goodbad
	1.0	Neg	polite	impolite	Polite&Impolite	testrating	5	Neg_politeimpolite
	1.0	Neg	fair	unfair	Fair&Unfair	testrating	5	Neg_fairunfair
	1.0	Pos	friendly	unfriendly	Friendly&Unfriendly	testrating	5	Pos_friendlyunfriendly
	1.0	Neg	tall	short	Tall&Short	testrating	5	Neg_tallshort
	4.0	Pos	average	average	Average	testaverage	5	Average_testaverage
	4.0	Neg	ok	ok	Ok	testaverage	5	Ok_testaverage
	4.0	Neg	alright	alright	Alright	testaverage	5	Alright_testaverage
	4.0	Pos	ok	ok	OkOk	testaverage	5	OkOk_testaverage
	7.0	Neg	uncertain	certain	Certain_Uncertain	Morph	6	Neg_Morph_Certain_Uncertain
	7.0	Neg	unlucky	lucky	Lucky_Unlucky	Morph	6	Neg_Morph_Lucky_Unlucky
	7.0	Pos	accurate	inaccurate	Accurate_Inaccurate	Morph	6	Pos_Morph_Accurate_Inaccurate
	7.0	Pos	happy	unhappy	Happy_Unhappy	Morph	6	Pos_Morph_Happy_Unhappy
	7.0	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	6	Pos_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	6	Neg_Morph_Fair_Unfair
	7.0	Neg	impolite	polite	Polite_Impolite	Morph	6	Neg_Morph_Polite_Impolite
	7.0	Pos	possible	impossible	Possible_Impossible	Morph	6	Pos_Morph_Possible_Impossible
	7.0	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	6	Pos_Morph_Satisfactory_Unsatisfactory
	7.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	6	Neg_Morph_Friendly_Unfriendly
	7.0	Pos	useful	useless	Useful_Useless	Morph	6	Pos_Morph_Useful_Useless
	7.0	Pos	good	bad	Good_Bad	Nonmorph	6	Pos_Nonmorph_Good_Bad
	7.0	Pos	strong	weak	Strong_Weak	Nonmorph	6	Pos_Nonmorph_Strong_Weak
	7.0	Neg	mean	kind	Kind_Mean	Nonmorph	6	Neg_Nonmorph_Kind_Mean
	7.0	Neg	short	tall	Tall_Short	Nonmorph	6	Neg_Nonmorph_Tall_Short
vague	6.0	Pos	happy	sad	Happy_Sad	Nonmorph	6	Pos_Nonmorph_Happy_Sad
	7.0	Neg	short	long	Long_Short	Nonmorph	6	Neg_Nonmorph_Long_Short
	7.0	Neg	rude	polite	Polite_Rude	Nonmorph	6	Neg_Nonmorph_Polite_Rude
	7.0	Pos	rich	poor	Rich_Poor	Nonmorph	6	Pos_Nonmorph_Rich_Poor
	7.0	Pos	satisfactory	frustrating	Satisfactory_Frustrating	Nonmorph	6	Pos_Nonmorph_Satisfactory_Frustrating
	1.0	Neg	interesting	boring	Interesting&Uninteresting	testrating	6	Neg_interestingboring
	1.0	Neg	bad	good	Good&Bad	testrating	6	Neg_badgood
	1.0	Neg	polite	impolite	Polite&Impolite	testrating	6	Neg_politeimpolite
	1.0	Pos	unfair	fair	Fair&Unfair	testrating	6	Pos_unfairfair
	1.0	Pos	friendly	unfriendly	Friendly&Unfriendly	testrating	6	Pos_friendlyunfriendly
	1.0	Pos	short	tall	Tall&Short	testrating	6	Pos_shorttall
	4.0	Pos	average	average	Average	testaverage	6	Average_testaverage
	4.0	Neg	ok	ok	Ok	testaverage	6	Ok_testaverage
	4.0	Neg	alright	alright	Alright	testaverage	6	Alright_testaverage
	4.0	Neg	ok	ok	OkOk	testaverage	6	OkOk_testaverage
	7.0	Pos	certain	uncertain	Certain_Uncertain	Morph	8	Pos_Morph_Certain_Uncertain
	7.0	Pos	lucky	unlucky	Lucky_Unlucky	Morph	8	Pos_Morph_Lucky_Unlucky
	7.0	Pos	accurate	inaccurate	Accurate_Inaccurate	Morph	8	Pos_Morph_Accurate_Inaccurate
	7.0	Pos	happy	unhappy	Happy_Unhappy	Morph	8	Pos_Morph_Happy_Unhappy
	7.0	Neg	uninteresting	interesting	Interesting_Uninteresting	Morph	8	Neg_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	8	Neg_Morph_Fair_Unfair
	7.0	Pos	polite	impolite	Polite_Impolite	Morph	8	Pos_Morph_Polite_Impolite
	7.0	Pos	possible	impossible	Possible_Impossible	Morph	8	Pos_Morph_Possible_Impossible
	7.0	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	8	Pos_Morph_Satisfactory_Unsatisfactory
	7.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	8	Neg_Morph_Friendly_Unfriendly
	7.0	Neg	useless	useful	Useful_Useless	Morph	8	Neg_Morph_Useful_Useless
	4.0	Neg	bad	good	Good_Bad	Nonmorph	8	Neg_Nonmorph_Good_Bad
	7.0	Pos	strong	weak	Strong_Weak	Nonmorph	8	Pos_Nonmorph_Strong_Weak
	7.0	Pos	kind	mean	Kind_Mean	Nonmorph	8	Pos_Nonmorph_Kind_Mean
	7.0	Pos	tall	short	Tall_Short	Nonmorph	8	Pos_Nonmorph_Tall_Short
	7.0	Neg	sad	happy	Happy_Sad	Nonmorph	8	Neg_Nonmorph_Happy_Sad
	7.0	Neg	short	long	Long_Short	Nonmorph	8	Neg_Nonmorph_Long_Short
	7.0	Neg	rude	polite	Polite_Rude	Nonmorph	8	Neg_Nonmorph_Polite_Rude
	7.0	Pos	rich	poor	Rich_Poor	Nonmorph	8	Pos_Nonmorph_Rich_Poor
	1.0	Neg	frustrating	satisfactory	Satisfactory_Frustrating	Nonmorph	8	Neg_Nonmorph_Satisfactory_Frustrating
	1.0	Neg	interesting	boring	Interesting&Uninteresting	testrating	8	Neg_interestingboring
off	7.0	Neg	bad	good	Good&Bad	testrating	8	Neg_badgood
	1.0	Pos	impolite	polite	Polite&Impolite	testrating	8	Pos_impolitepolite
	1.0	Neg	fair	unfair	Fair&Unfair	testrating	8	Neg_fairunfair
	1.0	Neg	unfriendly	friendly	Friendly&Unfriendly	testrating	8	Neg_unfriendlyfriendly
	1.0	Neg	tall	short	Tall&Short	testrating	8	Neg_tallshort
off	3.0	Pos	average	average	Average	testaverage	8	Average_testaverage
off	3.0	Pos	ok	ok	Ok	testaverage	8	Ok_testaverage
	4.0	Neg	alright	alright	Alright	testaverage	8	Alright_testaverage
off	3.0	Pos	ok	ok	OkOk	testaverage	8	OkOk_testaverage
vague	4.5	Pos	certain	uncertain	Certain_Uncertain	Morph	9	Pos_Morph_Certain_Uncertain
vague	6.5	Pos	lucky	unlucky	Lucky_Unlucky	Morph	9	Pos_Morph_Lucky_Unlucky
vague	4.5	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	9	Neg_Morph_Accurate_Inaccurate
vague	4.5	Neg	unhappy	happy	Happy_Unhappy	Morph	9	Neg_Morph_Happy_Unhappy
vague	6.5	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	9	Pos_Morph_Interesting_Uninteresting
vague	4.5	Neg	unfair	fair	Fair_Unfair	Morph	9	Neg_Morph_Fair_Unfair
vague	6.5	Pos	polite	impolite	Polite_Impolite	Morph	9	Pos_Morph_Polite_Impolite
vague	4.5	Pos	possible	impossible	Possible_Impossible	Morph	9	Pos_Morph_Possible_Impossible
vague	4.5	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	9	Neg_Morph_Satisfactory_Unsatisfactory
vague	6.5	Pos	friendly	unfriendly	Friendly_Unfriendly	Morph	9	Pos_Morph_Friendly_Unfriendly
vague	6.5	Pos	useful	useless	Useful_Useless	Morph	9	Pos_Morph_Useful_Useless
vague	4.5	Neg	bad	good	Good_Bad	Nonmorph	9	Neg_Nonmorph_Good_Bad
vague	4.5	Neg	weak	strong	Strong_Weak	Nonmorph	9	Neg_Nonmorph_Strong_Weak
vague	6.5	Pos	kind	mean	Kind_Mean	Nonmorph	9	Pos_Nonmorph_Kind_Mean
vague	4.5	Pos	tall	short	Tall_Short	Nonmorph	9	Pos_Nonmorph_Tall_Short
vague	4.5	Neg	sad	happy	Happy_Sad	Nonmorph	9	Neg_Nonmorph_Happy_Sad
vague	4.5	Pos	long	short	Long_Short	Nonmorph	9	Pos_Nonmorph_Long_Short
vague	6.5	Pos	polite	rude	Polite_Rude	Nonmorph	9	Pos_Nonmorph_Polite_Rude
vague	4.5	Pos	rich	poor	Rich_Poor	Nonmorph	9	Pos_Nonmorph_Rich_Poor
vague	4.5	Neg	frustrating	satisfactory	Satisfactory_Frustrating	Nonmorph	9	Neg_Nonmorph_Satisfactory_Frustrating
vague	1.5	Neg	interesting	boring	Interesting&Uninteresting	testrating	9	Neg_interestingboring
vague	1.5	Pos	good	bad	Good&Bad	testrating	9	Pos_goodbad
vague	1.5	Neg	polite	impolite	Polite&Impolite	testrating	9	Neg_politeimpolite
vague	1.5	Neg	fair	unfair	Fair&Unfair	testrating	9	Neg_fairunfair
off	6.5	Neg	unfriendly	friendly	Friendly&Unfriendly	testrating	9	Neg_unfriendlyfriendly
vague	1.0	Neg	tall	short	Tall&Short	testrating	9	Neg_tallshort
	4.0	Pos	average	average	Average	testaverage	9	Average_testaverage
	4.0	Pos	ok	ok	Ok	testaverage	9	Ok_testaverage
	4.0	Neg	alright	alright	Alright	testaverage	9	Alright_testaverage
	4.0	Neg	ok	ok	OkOk	testaverage	9	OkOk_testaverage
	7.0	Neg	uncertain	certain	Certain_Uncertain	Morph	10	Neg_Morph_Certain_Uncertain
	7.0	Neg	unlucky	lucky	Lucky_Unlucky	Morph	10	Neg_Morph_Lucky_Unlucky
	6.0	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	10	Neg_Morph_Accurate_Inaccurate
	7.0	Neg	unhappy	happy	Happy_Unhappy	Morph	10	Neg_Morph_Happy_Unhappy
	5.0	Neg	uninteresting	interesting	Interesting_Uninteresting	Morph	10	Neg_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	10	Neg_Morph_Fair_Unfair
scale		Neg	impolite	polite	Polite_Impolite	Morph	10	Neg_Morph_Polite_Impolite
scale		Pos	possible	impossible	Possible_Impossible	Morph	10	Pos_Morph_Possible_Impossible
	6.0	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	10	Pos_Morph_Satisfactory_Unsatisfactory
	7.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	10	Neg_Morph_Friendly_Unfriendly
	7.0	Neg	useless	useful	Useful_Useless	Morph	10	Neg_Morph_Useful_Useless
	6.0	Neg	bad	good	Good_Bad	Nonmorph	10	Neg_Nonmorph_Good_Bad
	7.0	Pos	strong	weak	Strong_Weak	Nonmorph	10	Pos_Nonmorph_Strong_Weak
	5.0	Pos	kind	mean	Kind_Mean	Nonmorph	10	Pos_Nonmorph_Kind_Mean
	6.0	Pos	tall	short	Tall_Short	Nonmorph	10	Pos_Nonmorph_Tall_Short
	7.0	Neg	sad	happy	Happy_Sad	Nonmorph	10	Neg_Nonmorph_Happy_Sad
	7.0	Pos	long	short	Long_Short	Nonmorph	10	Pos_Nonmorph_Long_Short
	4.0	Pos	polite	rude	Polite_Rude	Nonmorph	10	Pos_Nonmorph_Polite_Rude
scale		Pos	rich	poor	Rich_Poor	Nonmorph	10	Pos_Nonmorph_Rich_Poor
	7.0	Pos	satisfactory	frustrating	Satisfactory_Frustrating	Nonmorph	10	Pos_Nonmorph_Satisfactory_Frustrating
	5.0	Pos	boring	interesting	Interesting&Uninteresting	testrating	10	Pos_boringinteresting
	6.0	Pos	good	bad	Good&Bad	testrating	10	Pos_goodbad
	1.0	Pos	impolite	polite	Polite&Impolite	testrating	10	Pos_impolitepolite
	5.0	Neg	fair	unfair	Fair&Unfair	testrating	10	Neg_fairunfair
	7.0	Neg	unfriendly	friendly	Friendly&Unfriendly	testrating	10	Neg_unfriendlyfriendly
	1.0	Neg	tall	short	Tall&Short	testrating	10	Neg_tallshort
	4.0	Neg	average	average	Average	testaverage	10	Average_testaverage
	4.0	Pos	ok	ok	Ok	testaverage	10	Ok_testaverage
	4.0	Pos	alright	alright	Alright	testaverage	10	Alright_testaverage
	5.0	Pos	ok	ok	OkOk	testaverage	10	OkOk_testaverage
	7.0	Neg	uncertain	certain	Certain_Uncertain	Morph	12	Neg_Morph_Certain_Uncertain
	7.0	Pos	lucky	unlucky	Lucky_Unlucky	Morph	12	Pos_Morph_Lucky_Unlucky
	7.0	Pos	accurate	inaccurate	Accurate_Inaccurate	Morph	12	Pos_Morph_Accurate_Inaccurate
	7.0	Pos	happy	unhappy	Happy_Unhappy	Morph	12	Pos_Morph_Happy_Unhappy
	6.0	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	12	Pos_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	12	Neg_Morph_Fair_Unfair
	5.0	Neg	impolite	polite	Polite_Impolite	Morph	12	Neg_Morph_Polite_Impolite
	6.0	Neg	impossible	possible	Possible_Impossible	Morph	12	Neg_Morph_Possible_Impossible
	6.0	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	12	Neg_Morph_Satisfactory_Unsatisfactory
	5.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	12	Neg_Morph_Friendly_Unfriendly
	7.0	Pos	useful	useless	Useful_Useless	Morph	12	Pos_Morph_Useful_Useless
	5.0	Neg	bad	good	Good_Bad	Nonmorph	12	Neg_Nonmorph_Good_Bad
	7.0	Pos	strong	weak	Strong_Weak	Nonmorph	12	Pos_Nonmorph_Strong_Weak
	6.0	Neg	mean	kind	Kind_Mean	Nonmorph	12	Neg_Nonmorph_Kind_Mean
	7.0	Neg	short	tall	Tall_Short	Nonmorph	12	Neg_Nonmorph_Tall_Short
	7.0	Pos	happy	sad	Happy_Sad	Nonmorph	12	Pos_Nonmorph_Happy_Sad
