marker	value	polarity 	item1	item2	item	complexity	Worker_ID	variable
	7.0	Pos	long	short	Long_Short	Nonmorph	74	Pos_Nonmorph_Long_Short
	7.0	Pos	polite	rude	Polite_Rude	Nonmorph	74	Pos_Nonmorph_Polite_Rude
	7.0	Pos	rich	poor	Rich_Poor	Nonmorph	74	Pos_Nonmorph_Rich_Poor
	7.0	Pos	satisfactory	frustrating	Satisfactory_Frustrating	Nonmorph	74	Pos_Nonmorph_Satisfactory_Frustrating
	1.0	Pos	boring	interesting	Interesting&Uninteresting	testrating	74	Pos_boringinteresting
	1.0	Pos	good	bad	Good&Bad	testrating	74	Pos_goodbad
	1.0	Pos	impolite	polite	Polite&Impolite	testrating	74	Pos_impolitepolite
	1.0	Neg	fair	unfair	Fair&Unfair	testrating	74	Neg_fairunfair
	1.0	Pos	friendly	unfriendly	Friendly&Unfriendly	testrating	74	Pos_friendlyunfriendly
	1.0	Neg	tall	short	Tall&Short	testrating	74	Neg_tallshort
	4.0	Neg	average	average	Average	testaverage	74	Average_testaverage 
	4.0	Neg	ok	ok	Ok	testaverage	74	Ok_testaverage 
	4.0	Neg	alright	alright	Alright	testaverage	74	Alright_testaverage 
	4.0	Neg	ok	ok	OkOk	testaverage	74	OkOk_testaverage 
vague	6.5	Pos	certain	uncertain	Certain_Uncertain	Morph	75	Pos_Morph_Certain_Uncertain
vague	6.5	Neg	unlucky	lucky	Lucky_Unlucky	Morph	75	Neg_Morph_Lucky_Unlucky
vague	6.5	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	75	Neg_Morph_Accurate_Inaccurate
vague	6.5	Pos	happy	unhappy	Happy_Unhappy	Morph	75	Pos_Morph_Happy_Unhappy
vague	6.5	Neg	uninteresting	interesting	Interesting_Uninteresting	Morph	75	Neg_Morph_Interesting_Uninteresting
vague	6.5	Neg	unfair	fair	Fair_Unfair	Morph	75	Neg_Morph_Fair_Unfair
vague	6.5	Neg	impolite	polite	Polite_Impolite	Morph	75	Neg_Morph_Polite_Impolite
vague	6.5	Neg	impossible	possible	Possible_Impossible	Morph	75	Neg_Morph_Possible_Impossible
vague	6.5	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	75	Pos_Morph_Satisfactory_Unsatisfactory
vague	6.5	Pos	friendly	unfriendly	Friendly_Unfriendly	Morph	75	Pos_Morph_Friendly_Unfriendly
vague	6.5	Neg	useless	useful	Useful_Useless	Morph	75	Neg_Morph_Useful_Useless
vague	6.5	Neg	bad	good	Good_Bad	Nonmorph	75	Neg_Nonmorph_Good_Bad
vague	6.5	Pos	strong	weak	Strong_Weak	Nonmorph	75	Pos_Nonmorph_Strong_Weak
vague	6.5	Neg	mean	kind	Kind_Mean	Nonmorph	75	Neg_Nonmorph_Kind_Mean
vague	6.5	Pos	tall	short	Tall_Short	Nonmorph	75	Pos_Nonmorph_Tall_Short
vague	6.5	Pos	happy	sad	Happy_Sad	Nonmorph	75	Pos_Nonmorph_Happy_Sad
vague	6.5	Neg	short	long	Long_Short	Nonmorph	75	Neg_Nonmorph_Long_Short
vague	6.5	Pos	polite	rude	Polite_Rude	Nonmorph	75	Pos_Nonmorph_Polite_Rude
vague	6.5	Pos	rich	poor	Rich_Poor	Nonmorph	75	Pos_Nonmorph_Rich_Poor
vague	6.5	Neg	frustrating	satisfactory	Satisfactory_Frustrating	Nonmorph	75	Neg_Nonmorph_Satisfactory_Frustrating
vague	1.5	Pos	boring	interesting	Interesting&Uninteresting	testrating	75	Pos_boringinteresting
vague	1.5	Neg	bad	good	Good&Bad	testrating	75	Neg_badgood
vague	1.5	Pos	impolite	polite	Polite&Impolite	testrating	75	Pos_impolitepolite
vague	1.5	Pos	unfair	fair	Fair&Unfair	testrating	75	Pos_unfairfair
vague	1.5	Neg	unfriendly	friendly	Friendly&Unfriendly	testrating	75	Neg_unfriendlyfriendly
vague	1.5	Neg	tall	short	Tall&Short	testrating	75	Neg_tallshort
vague	4.5	Pos	average	average	Average	testaverage	75	Average_testaverage 
vague	4.5	Pos	ok	ok	Ok	testaverage	75	Ok_testaverage 
vague	4.5	Pos	alright	alright	Alright	testaverage	75	Alright_testaverage 
vague	4.5	Neg	ok	ok	OkOk	testaverage	75	OkOk_testaverage 
	7.0	Pos	certain	uncertain	Certain_Uncertain	Morph	76	Pos_Morph_Certain_Uncertain
	7.0	Pos	lucky	unlucky	Lucky_Unlucky	Morph	76	Pos_Morph_Lucky_Unlucky
	7.0	Pos	accurate	inaccurate	Accurate_Inaccurate	Morph	76	Pos_Morph_Accurate_Inaccurate
	7.0	Pos	happy	unhappy	Happy_Unhappy	Morph	76	Pos_Morph_Happy_Unhappy
	7.0	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	76	Pos_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	76	Neg_Morph_Fair_Unfair
	7.0	Neg	impolite	polite	Polite_Impolite	Morph	76	Neg_Morph_Polite_Impolite
	7.0	Neg	impossible	possible	Possible_Impossible	Morph	76	Neg_Morph_Possible_Impossible
	7.0	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	76	Neg_Morph_Satisfactory_Unsatisfactory
	7.0	Pos	friendly	unfriendly	Friendly_Unfriendly	Morph	76	Pos_Morph_Friendly_Unfriendly
	7.0	Pos	useful	useless	Useful_Useless	Morph	76	Pos_Morph_Useful_Useless
	7.0	Pos	good	bad	Good_Bad	Nonmorph	76	Pos_Nonmorph_Good_Bad
	7.0	Pos	strong	weak	Strong_Weak	Nonmorph	76	Pos_Nonmorph_Strong_Weak
	7.0	Pos	kind	mean	Kind_Mean	Nonmorph	76	Pos_Nonmorph_Kind_Mean
	7.0	Neg	short	tall	Tall_Short	Nonmorph	76	Neg_Nonmorph_Tall_Short
	7.0	Pos	happy	sad	Happy_Sad	Nonmorph	76	Pos_Nonmorph_Happy_Sad
	7.0	Neg	short	long	Long_Short	Nonmorph	76	Neg_Nonmorph_Long_Short
	7.0	Neg	rude	polite	Polite_Rude	Nonmorph	76	Neg_Nonmorph_Polite_Rude
	7.0	Pos	rich	poor	Rich_Poor	Nonmorph	76	Pos_Nonmorph_Rich_Poor
	7.0	Neg	frustrating	satisfactory	Satisfactory_Frustrating	Nonmorph	76	Neg_Nonmorph_Satisfactory_Frustrating
	1.0	Pos	boring	interesting	Interesting&Uninteresting	testrating	76	Pos_boringinteresting
	1.0	Pos	good	bad	Good&Bad	testrating	76	Pos_goodbad
	1.0	Neg	polite	impolite	Polite&Impolite	testrating	76	Neg_politeimpolite
	1.0	Neg	fair	unfair	Fair&Unfair	testrating	76	Neg_fairunfair
	1.0	Neg	unfriendly	friendly	Friendly&Unfriendly	testrating	76	Neg_unfriendlyfriendly
	2.0	Pos	short	tall	Tall&Short	testrating	76	Pos_shorttall
	4.0	Neg	average	average	Average	testaverage	76	Average_testaverage 
	4.0	Neg	ok	ok	Ok	testaverage	76	Ok_testaverage 
	4.0	Neg	alright	alright	Alright	testaverage	76	Alright_testaverage 
	4.0	Neg	ok	ok	OkOk	testaverage	76	OkOk_testaverage 
	7.0	Neg	uncertain	certain	Certain_Uncertain	Morph	77	Neg_Morph_Certain_Uncertain
	7.0	Pos	lucky	unlucky	Lucky_Unlucky	Morph	77	Pos_Morph_Lucky_Unlucky
	7.0	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	77	Neg_Morph_Accurate_Inaccurate
	7.0	Neg	unhappy	happy	Happy_Unhappy	Morph	77	Neg_Morph_Happy_Unhappy
	7.0	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	77	Pos_Morph_Interesting_Uninteresting
	7.0	Pos	fair	unfair	Fair_Unfair	Morph	77	Pos_Morph_Fair_Unfair
	7.0	Pos	polite	impolite	Polite_Impolite	Morph	77	Pos_Morph_Polite_Impolite
	7.0	Pos	possible	impossible	Possible_Impossible	Morph	77	Pos_Morph_Possible_Impossible
	7.0	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	77	Pos_Morph_Satisfactory_Unsatisfactory
	7.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	77	Neg_Morph_Friendly_Unfriendly
	7.0	Neg	useless	useful	Useful_Useless	Morph	77	Neg_Morph_Useful_Useless
	7.0	Pos	good	bad	Good_Bad	Nonmorph	77	Pos_Nonmorph_Good_Bad
	7.0	Neg	weak	strong	Strong_Weak	Nonmorph	77	Neg_Nonmorph_Strong_Weak
	7.0	Neg	mean	kind	Kind_Mean	Nonmorph	77	Neg_Nonmorph_Kind_Mean
	7.0	Neg	short	tall	Tall_Short	Nonmorph	77	Neg_Nonmorph_Tall_Short
	7.0	Pos	happy	sad	Happy_Sad	Nonmorph	77	Pos_Nonmorph_Happy_Sad
	7.0	Neg	short	long	Long_Short	Nonmorph	77	Neg_Nonmorph_Long_Short
	7.0	Pos	polite	rude	Polite_Rude	Nonmorph	77	Pos_Nonmorph_Polite_Rude
	7.0	Neg	poor	rich	Rich_Poor	Nonmorph	77	Neg_Nonmorph_Rich_Poor
	7.0	Pos	satisfactory	frustrating	Satisfactory_Frustrating	Nonmorph	77	Pos_Nonmorph_Satisfactory_Frustrating
	1.	Neg	interesting	boring	Interesting&Uninteresting	testrating	77	Neg_interestingboring
	1.	Pos	good	bad	Good&Bad	testrating	77	Pos_goodbad
	1.	Pos	impolite	polite	Polite&Impolite	testrating	77	Pos_impolitepolite
	1.	Pos	unfair	fair	Fair&Unfair	testrating	77	Pos_unfairfair
	1.	Neg	unfriendly	friendly	Friendly&Unfriendly	testrating	77	Neg_unfriendlyfriendly
	1.	Pos	short	tall	Tall&Short	testrating	77	Pos_shorttall
	4.	Neg	average	average	Average	testaverage	77	Average_testaverage 
	4.	Pos	ok	ok	Ok	testaverage	77	Ok_testaverage 
	4.	Neg	alright	alright	Alright	testaverage	77	Alright_testaverage 
	4.	Neg	ok	ok	OkOk	testaverage	77	OkOk_testaverage 
	7.0	Neg	uncertain	certain	Certain_Uncertain	Morph	78	Neg_Morph_Certain_Uncertain
	7.0	Pos	lucky	unlucky	Lucky_Unlucky	Morph	78	Pos_Morph_Lucky_Unlucky
	7.0	Pos	accurate	inaccurate	Accurate_Inaccurate	Morph	78	Pos_Morph_Accurate_Inaccurate
	7.0	Pos	happy	unhappy	Happy_Unhappy	Morph	78	Pos_Morph_Happy_Unhappy
	7.0	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	78	Pos_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	78	Neg_Morph_Fair_Unfair
	7.0	Pos	polite	impolite	Polite_Impolite	Morph	78	Pos_Morph_Polite_Impolite
	7.0	Pos	possible	impossible	Possible_Impossible	Morph	78	Pos_Morph_Possible_Impossible
	7.0	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	78	Neg_Morph_Satisfactory_Unsatisfactory
	7.0	Pos	friendly	unfriendly	Friendly_Unfriendly	Morph	78	Pos_Morph_Friendly_Unfriendly
	7.0	Neg	useless	useful	Useful_Useless	Morph	78	Neg_Morph_Useful_Useless
	6.0	Neg	bad	good	Good_Bad	Nonmorph	78	Neg_Nonmorph_Good_Bad
	7.0	Neg	weak	strong	Strong_Weak	Nonmorph	78	Neg_Nonmorph_Strong_Weak
	7.0	Neg	mean	kind	Kind_Mean	Nonmorph	78	Neg_Nonmorph_Kind_Mean
	7.0	Neg	short	tall	Tall_Short	Nonmorph	78	Neg_Nonmorph_Tall_Short
	7.0	Neg	sad	happy	Happy_Sad	Nonmorph	78	Neg_Nonmorph_Happy_Sad
	7.0	Neg	short	long	Long_Short	Nonmorph	78	Neg_Nonmorph_Long_Short
	7.0	Pos	polite	rude	Polite_Rude	Nonmorph	78	Pos_Nonmorph_Polite_Rude
	7.0	Pos	rich	poor	Rich_Poor	Nonmorph	78	Pos_Nonmorph_Rich_Poor
	7.0	Neg	frustrating	satisfactory	Satisfactory_Frustrating	Nonmorph	78	Neg_Nonmorph_Satisfactory_Frustrating
	1.0	Pos	boring	interesting	Interesting&Uninteresting	testrating	78	Pos_boringinteresting
	1.0	Pos	good	bad	Good&Bad	testrating	78	Pos_goodbad
	1.0	Pos	impolite	polite	Polite&Impolite	testrating	78	Pos_impolitepolite
	1.0	Neg	fair	unfair	Fair&Unfair	testrating	78	Neg_fairunfair
	1.0	Pos	friendly	unfriendly	Friendly&Unfriendly	testrating	78	Pos_friendlyunfriendly
	1.0	Neg	tall	short	Tall&Short	testrating	78	Neg_tallshort
	4.0	Neg	average	average	Average	testaverage	78	Average_testaverage 
	4.0	Neg	ok	ok	Ok	testaverage	78	Ok_testaverage 
	4.0	Pos	alright	alright	Alright	testaverage	78	Alright_testaverage 
	4.0	Pos	ok	ok	OkOk	testaverage	78	OkOk_testaverage 
	7.0	Neg	uncertain	certain	Certain_Uncertain	Morph	79	Neg_Morph_Certain_Uncertain
	7.0	Pos	lucky	unlucky	Lucky_Unlucky	Morph	79	Pos_Morph_Lucky_Unlucky
	7.0	Pos	accurate	inaccurate	Accurate_Inaccurate	Morph	79	Pos_Morph_Accurate_Inaccurate
	7.0	Neg	unhappy	happy	Happy_Unhappy	Morph	79	Neg_Morph_Happy_Unhappy
	7.0	Neg	uninteresting	interesting	Interesting_Uninteresting	Morph	79	Neg_Morph_Interesting_Uninteresting
	7.0	Pos	fair	unfair	Fair_Unfair	Morph	79	Pos_Morph_Fair_Unfair
	7.0	Neg	impolite	polite	Polite_Impolite	Morph	79	Neg_Morph_Polite_Impolite
	7.0	Neg	impossible	possible	Possible_Impossible	Morph	79	Neg_Morph_Possible_Impossible
	7.0	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	79	Neg_Morph_Satisfactory_Unsatisfactory
	7.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	79	Neg_Morph_Friendly_Unfriendly
	7.0	Pos	useful	useless	Useful_Useless	Morph	79	Pos_Morph_Useful_Useless
	7.0	Pos	good	bad	Good_Bad	Nonmorph	79	Pos_Nonmorph_Good_Bad
off	1.0	Neg	weak	strong	Strong_Weak	Nonmorph	79	Neg_Nonmorph_Strong_Weak
	7.0	Neg	mean	kind	Kind_Mean	Nonmorph	79	Neg_Nonmorph_Kind_Mean
	7.0	Pos	tall	short	Tall_Short	Nonmorph	79	Pos_Nonmorph_Tall_Short
	7.0	Pos	happy	sad	Happy_Sad	Nonmorph	79	Pos_Nonmorph_Happy_Sad
	7.0	Neg	short	long	Long_Short	Nonmorph	79	Neg_Nonmorph_Long_Short
	7.0	Pos	polite	rude	Polite_Rude	Nonmorph	79	Pos_Nonmorph_Polite_Rude
	7.0	Neg	poor	rich	Rich_Poor	Nonmorph	79	Neg_Nonmorph_Rich_Poor
	7.0	Pos	satisfactory	frustrating	Satisfactory_Frustrating	Nonmorph	79	Pos_Nonmorph_Satisfactory_Frustrating
	1.0	Neg	interesting	boring	Interesting&Uninteresting	testrating	79	Neg_interestingboring
	1.0	Pos	good	bad	Good&Bad	testrating	79	Pos_goodbad
	1.0	Pos	impolite	polite	Polite&Impolite	testrating	79	Pos_impolitepolite
	1.0	Neg	fair	unfair	Fair&Unfair	testrating	79	Neg_fairunfair
	1.0	Pos	friendly	unfriendly	Friendly&Unfriendly	testrating	79	Pos_friendlyunfriendly
	1.0	Neg	tall	short	Tall&Short	testrating	79	Neg_tallshort
	4.0	Pos	average	average	Average	testaverage	79	Average_testaverage 
	4.0	Pos	ok	ok	Ok	testaverage	79	Ok_testaverage 
	4.0	Neg	alright	alright	Alright	testaverage	79	Alright_testaverage 
	4.0	Pos	ok	ok	OkOk	testaverage	79	OkOk_testaverage 
vague	6.5	Neg	uncertain	certain	Certain_Uncertain	Morph	80	Neg_Morph_Certain_Uncertain
vague	6.5	Neg	unlucky	lucky	Lucky_Unlucky	Morph	80	Neg_Morph_Lucky_Unlucky
vague	6.5	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	80	Neg_Morph_Accurate_Inaccurate
vague	6.5	Neg	unhappy	happy	Happy_Unhappy	Morph	80	Neg_Morph_Happy_Unhappy
vague	6.5	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	80	Pos_Morph_Interesting_Uninteresting
	7.0	Pos	fair	unfair	Fair_Unfair	Morph	80	Pos_Morph_Fair_Unfair
vague	6.5	Neg	impolite	polite	Polite_Impolite	Morph	80	Neg_Morph_Polite_Impolite
	7.0	Pos	possible	impossible	Possible_Impossible	Morph	80	Pos_Morph_Possible_Impossible
vague	6.5	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	80	Neg_Morph_Satisfactory_Unsatisfactory
vague	6.5	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	80	Neg_Morph_Friendly_Unfriendly
	7.0	Pos	useful	useless	Useful_Useless	Morph	80	Pos_Morph_Useful_Useless
vague	6.5	Pos	good	bad	Good_Bad	Nonmorph	80	Pos_Nonmorph_Good_Bad
vague	6.5	Pos	strong	weak	Strong_Weak	Nonmorph	80	Pos_Nonmorph_Strong_Weak
vague	6.5	Neg	mean	kind	Kind_Mean	Nonmorph	80	Neg_Nonmorph_Kind_Mean
vague	6.5	Pos	tall	short	Tall_Short	Nonmorph	80	Pos_Nonmorph_Tall_Short
	7.0	Pos	happy	sad	Happy_Sad	Nonmorph	80	Pos_Nonmorph_Happy_Sad
vague	6.5	Neg	short	long	Long_Short	Nonmorph	80	Neg_Nonmorph_Long_Short
vague	6.5	Pos	polite	rude	Polite_Rude	Nonmorph	80	Pos_Nonmorph_Polite_Rude
vague	5.5	Neg	poor	rich	Rich_Poor	Nonmorph	80	Neg_Nonmorph_Rich_Poor
	7.0	Pos	satisfactory	frustrating	Satisfactory_Frustrating	Nonmorph	80	Pos_Nonmorph_Satisfactory_Frustrating
vague	1.5	Neg	interesting	boring	Interesting&Uninteresting	testrating	80	Neg_interestingboring
vague	1.5	Pos	good	bad	Good&Bad	testrating	80	Pos_goodbad
vague	1.5	Pos	impolite	polite	Polite&Impolite	testrating	80	Pos_impolitepolite
vague	1.5	Neg	fair	unfair	Fair&Unfair	testrating	80	Neg_fairunfair
vague	1.5	Pos	friendly	unfriendly	Friendly&Unfriendly	testrating	80	Pos_friendlyunfriendly
vague	1.5	Neg	tall	short	Tall&Short	testrating	80	Neg_tallshort
vague	4.5	Neg	average	average	Average	testaverage	80	Average_testaverage 
vague	4.5	Pos	ok	ok	Ok	testaverage	80	Ok_testaverage 
vague	4.5	Pos	alright	alright	Alright	testaverage	80	Alright_testaverage 
vague	4.5	Neg	ok	ok	OkOk	testaverage	80	OkOk_testaverage 
vague	5.5	Pos	certain	uncertain	Certain_Uncertain	Morph	81	Pos_Morph_Certain_Uncertain
	7.0	Pos	lucky	unlucky	Lucky_Unlucky	Morph	81	Pos_Morph_Lucky_Unlucky
	7.0	Pos	accurate	inaccurate	Accurate_Inaccurate	Morph	81	Pos_Morph_Accurate_Inaccurate
	7.0	Neg	unhappy	happy	Happy_Unhappy	Morph	81	Neg_Morph_Happy_Unhappy
	7.0	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	81	Pos_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	81	Neg_Morph_Fair_Unfair
	7.0	Pos	polite	impolite	Polite_Impolite	Morph	81	Pos_Morph_Polite_Impolite
	7.0	Pos	possible	impossible	Possible_Impossible	Morph	81	Pos_Morph_Possible_Impossible
	6.0	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	81	Neg_Morph_Satisfactory_Unsatisfactory
	7.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	81	Neg_Morph_Friendly_Unfriendly
	7.0	Pos	useful	useless	Useful_Useless	Morph	81	Pos_Morph_Useful_Useless
vague	4.5	Neg	bad	good	Good_Bad	Nonmorph	81	Neg_Nonmorph_Good_Bad
vague	4.5	Pos	strong	weak	Strong_Weak	Nonmorph	81	Pos_Nonmorph_Strong_Weak
	7.0	Neg	mean	kind	Kind_Mean	Nonmorph	81	Neg_Nonmorph_Kind_Mean
	6.0	Neg	short	tall	Tall_Short	Nonmorph	81	Neg_Nonmorph_Tall_Short
vague	6.5	Pos	happy	sad	Happy_Sad	Nonmorph	81	Pos_Nonmorph_Happy_Sad
	6.0	Neg	short	long	Long_Short	Nonmorph	81	Neg_Nonmorph_Long_Short
	6.0	Neg	rude	polite	Polite_Rude	Nonmorph	81	Neg_Nonmorph_Polite_Rude
	7.0	Neg	poor	rich	Rich_Poor	Nonmorph	81	Neg_Nonmorph_Rich_Poor
	6.0	Neg	frustrating	satisfactory	Satisfactory_Frustrating	Nonmorph	81	Neg_Nonmorph_Satisfactory_Frustrating
	1.0	Neg	interesting	boring	Interesting&Uninteresting	testrating	81	Neg_interestingboring
	1.0	Pos	good	bad	Good&Bad	testrating	81	Pos_goodbad
	1.0	Neg	polite	impolite	Polite&Impolite	testrating	81	Neg_politeimpolite
	1.0	Neg	fair	unfair	Fair&Unfair	testrating	81	Neg_fairunfair
	1.0	Pos	friendly	unfriendly	Friendly&Unfriendly	testrating	81	Pos_friendlyunfriendly
vague	1.5	Pos	short	tall	Tall&Short	testrating	81	Pos_shorttall
	4.0	Pos	average	average	Average	testaverage	81	Average_testaverage 
	4.0	Pos	ok	ok	Ok	testaverage	81	Ok_testaverage 
	4.0	Neg	alright	alright	Alright	testaverage	81	Alright_testaverage 
	4.0	Pos	ok	ok	OkOk	testaverage	81	OkOk_testaverage 
vague	6.5	Neg	uncertain	certain	Certain_Uncertain	Morph	82	Neg_Morph_Certain_Uncertain
	7.0	Pos	lucky	unlucky	Lucky_Unlucky	Morph	82	Pos_Morph_Lucky_Unlucky
	7.0	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	82	Neg_Morph_Accurate_Inaccurate
	7.0	Neg	unhappy	happy	Happy_Unhappy	Morph	82	Neg_Morph_Happy_Unhappy
off	1.5	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	82	Pos_Morph_Interesting_Uninteresting
vague	6.5	Neg	unfair	fair	Fair_Unfair	Morph	82	Neg_Morph_Fair_Unfair
	7.0	Pos	polite	impolite	Polite_Impolite	Morph	82	Pos_Morph_Polite_Impolite
	7.0	Neg	impossible	possible	Possible_Impossible	Morph	82	Neg_Morph_Possible_Impossible
	7.0	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	82	Pos_Morph_Satisfactory_Unsatisfactory
	7.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	82	Neg_Morph_Friendly_Unfriendly
vague	6.5	Pos	useful	useless	Useful_Useless	Morph	82	Pos_Morph_Useful_Useless
vague	6.5	Pos	good	bad	Good_Bad	Nonmorph	82	Pos_Nonmorph_Good_Bad
	7.0	Pos	strong	weak	Strong_Weak	Nonmorph	82	Pos_Nonmorph_Strong_Weak
	7.0	Neg	mean	kind	Kind_Mean	Nonmorph	82	Neg_Nonmorph_Kind_Mean
off	1.5	Neg	short	tall	Tall_Short	Nonmorph	82	Neg_Nonmorph_Tall_Short
	7.0	Pos	happy	sad	Happy_Sad	Nonmorph	82	Pos_Nonmorph_Happy_Sad
