Worker_ID	Gender	Education	Lang	Age	variable	value	polarity	complexity	item1	item2	list	item
A2EI0	Male	High School Graduate	English	42	Neg_Morph_Certain_Uncertain	7	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A3DHA	Male	High School Graduate	English	23	Neg_Morph_Certain_Uncertain	4	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A1XKL	Male	Some college, no degree	English	31	Neg_Morph_Certain_Uncertain	7	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A2C73	Male	High School Graduate	english	28	Neg_Morph_Certain_Uncertain	4	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
AHYTT	Female	Bachelors degree	english	37	Neg_Morph_Certain_Uncertain	6	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A53WV	Male	Some High School	english	26	Neg_Morph_Certain_Uncertain	4	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A27VF	Female	High School Graduate	English	48	Neg_Morph_Certain_Uncertain	6	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A1PMJ	Male	Bachelors degree	english	28	Neg_Morph_Certain_Uncertain	6	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
AV5FC	Male	Some college, no degree	English	45	Neg_Morph_Certain_Uncertain	4	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A2WHC	Female	Bachelors degree	English	53	Neg_Morph_Certain_Uncertain	6	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A2ZDX	Male	Bachelors degree	English	30	Neg_Morph_Certain_Uncertain	5	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A3MFK	Male	Bachelors degree	English	36	Neg_Morph_Certain_Uncertain	3	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A3QSJ	Female	Some college, no degree	English	37	Neg_Morph_Certain_Uncertain	6	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A2YGO	Male	Some college, no degree	english	38	Neg_Morph_Certain_Uncertain	4	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A25FH	Female	Associates degree	english	53	Neg_Morph_Certain_Uncertain	4	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A32LH	Female	Graduate degree (Masters, Doctorate, etc.)	English	30	Neg_Morph_Certain_Uncertain	7	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A190P	Female	Some college, no degree	English	28	Neg_Morph_Certain_Uncertain	7	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A1GF9	Female	Bachelors degree	english	26	Neg_Morph_Certain_Uncertain	7	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A3OZ8	Male	Some college, no degree	English	54	Neg_Morph_Certain_Uncertain	2	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A1OIH	Male	Bachelors degree	English	27	Neg_Morph_Certain_Uncertain	6	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A3ARC	Male	Bachelors degree	E	40	Neg_Morph_Certain_Uncertain	NA	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
AWVL6	Female	Bachelors degree	English	29	Neg_Morph_Certain_Uncertain	7	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A2O7L	Male	High School Graduate	English	49	Neg_Morph_Certain_Uncertain	6	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A2BZY	Male	High School Graduate	English	31	Neg_Morph_Certain_Uncertain	4	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A30UE	Female	Associates degree	english	31	Neg_Morph_Certain_Uncertain	3	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A2Q4Z	Male	Bachelors degree	English	35	Neg_Morph_Certain_Uncertain	6	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A2915	Male	Bachelors degree	American	28	Neg_Morph_Certain_Uncertain	7	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
A38RH	Female	Graduate degree (Masters, Doctorate, etc.)	english	30	Neg_Morph_Happy_Unhappy	6	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A2EI0	Male	High School Graduate	English	42	Neg_Morph_Happy_Unhappy	4	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A3DHA	Male	High School Graduate	English	23	Neg_Morph_Happy_Unhappy	6	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A1XKL	Male	Some college, no degree	English	31	Neg_Morph_Happy_Unhappy	7	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A2C73	Male	High School Graduate	english	28	Neg_Morph_Happy_Unhappy	4	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
AHYTT	Female	Bachelors degree	english	37	Neg_Morph_Happy_Unhappy	6	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A53WV	Male	Some High School	english	26	Neg_Morph_Happy_Unhappy	3	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A27VF	Female	High School Graduate	English	48	Neg_Morph_Happy_Unhappy	6	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A1PMJ	Male	Bachelors degree	english	28	Neg_Morph_Happy_Unhappy	5	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
AV5FC	Male	Some college, no degree	English	45	Neg_Morph_Happy_Unhappy	5	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A2WHC	Female	Bachelors degree	English	53	Neg_Morph_Happy_Unhappy	4	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A2ZDX	Male	Bachelors degree	English	30	Neg_Morph_Happy_Unhappy	NA	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A3MFK	Male	Bachelors degree	English	36	Neg_Morph_Happy_Unhappy	4	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A3QSJ	Female	Some college, no degree	English	37	Neg_Morph_Happy_Unhappy	6	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A2YGO	Male	Some college, no degree	english	38	Neg_Morph_Happy_Unhappy	4	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A25FH	Female	Associates degree	english	53	Neg_Morph_Happy_Unhappy	4	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A32LH	Female	Graduate degree (Masters, Doctorate, etc.)	English	30	Neg_Morph_Happy_Unhappy	1	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A190P	Female	Some college, no degree	English	28	Neg_Morph_Happy_Unhappy	7	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A1GF9	Female	Bachelors degree	english	26	Neg_Morph_Happy_Unhappy	7	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A3OZ8	Male	Some college, no degree	English	54	Neg_Morph_Happy_Unhappy	6	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A1OIH	Male	Bachelors degree	English	27	Neg_Morph_Happy_Unhappy	4	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A3ARC	Male	Bachelors degree	E	40	Neg_Morph_Happy_Unhappy	NA	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
AWVL6	Female	Bachelors degree	English	29	Neg_Morph_Happy_Unhappy	3	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A2O7L	Male	High School Graduate	English	49	Neg_Morph_Happy_Unhappy	5	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A2BZY	Male	High School Graduate	English	31	Neg_Morph_Happy_Unhappy	7	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A30UE	Female	Associates degree	english	31	Neg_Morph_Happy_Unhappy	7	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A2Q4Z	Male	Bachelors degree	English	35	Neg_Morph_Happy_Unhappy	6	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A2915	Male	Bachelors degree	American	28	Neg_Morph_Happy_Unhappy	7	Neg	Morph	Happy	Unhappy	a	Happy_Unhappy
A38RH	Female	Graduate degree (Masters, Doctorate, etc.)	english	30	Neg_Morph_Interesting_Uninteresting	7	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A2EI0	Male	High School Graduate	English	42	Neg_Morph_Interesting_Uninteresting	4	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A3DHA	Male	High School Graduate	English	23	Neg_Morph_Interesting_Uninteresting	6	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A1XKL	Male	Some college, no degree	English	31	Neg_Morph_Interesting_Uninteresting	7	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A2C73	Male	High School Graduate	english	28	Neg_Morph_Interesting_Uninteresting	4	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
AHYTT	Female	Bachelors degree	english	37	Neg_Morph_Interesting_Uninteresting	6	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A53WV	Male	Some High School	english	26	Neg_Morph_Interesting_Uninteresting	4	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A27VF	Female	High School Graduate	English	48	Neg_Morph_Interesting_Uninteresting	5	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A1PMJ	Male	Bachelors degree	english	28	Neg_Morph_Interesting_Uninteresting	4	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
AV5FC	Male	Some college, no degree	English	45	Neg_Morph_Interesting_Uninteresting	4	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A2WHC	Female	Bachelors degree	English	53	Neg_Morph_Interesting_Uninteresting	4	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A2ZDX	Male	Bachelors degree	English	30	Neg_Morph_Interesting_Uninteresting	6	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A3MFK	Male	Bachelors degree	English	36	Neg_Morph_Interesting_Uninteresting	6	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A3QSJ	Female	Some college, no degree	English	37	Neg_Morph_Interesting_Uninteresting	6	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A2YGO	Male	Some college, no degree	english	38	Neg_Morph_Interesting_Uninteresting	4	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A25FH	Female	Associates degree	english	53	Neg_Morph_Interesting_Uninteresting	4	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A32LH	Female	Graduate degree (Masters, Doctorate, etc.)	English	30	Neg_Morph_Interesting_Uninteresting	7	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A190P	Female	Some college, no degree	English	28	Neg_Morph_Interesting_Uninteresting	7	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A1GF9	Female	Bachelors degree	english	26	Neg_Morph_Interesting_Uninteresting	2	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A3OZ8	Male	Some college, no degree	English	54	Neg_Morph_Interesting_Uninteresting	6	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A1OIH	Male	Bachelors degree	English	27	Neg_Morph_Interesting_Uninteresting	3	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A3ARC	Male	Bachelors degree	E	40	Neg_Morph_Interesting_Uninteresting	NA	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
AWVL6	Female	Bachelors degree	English	29	Neg_Morph_Interesting_Uninteresting	7	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A2O7L	Male	High School Graduate	English	49	Neg_Morph_Interesting_Uninteresting	6	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A2BZY	Male	High School Graduate	English	31	Neg_Morph_Interesting_Uninteresting	7	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A30UE	Female	Associates degree	english	31	Neg_Morph_Interesting_Uninteresting	4	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A2Q4Z	Male	Bachelors degree	English	35	Neg_Morph_Interesting_Uninteresting	5	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A2915	Male	Bachelors degree	American	28	Neg_Morph_Interesting_Uninteresting	6	Neg	Morph	Interesting	Uninteresting	a	Interesting_Uninteresting
A38RH	Female	Graduate degree (Masters, Doctorate, etc.)	english	30	Neg_Morph_Lucky_Unlucky	7	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A2EI0	Male	High School Graduate	English	42	Neg_Morph_Lucky_Unlucky	4	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A3DHA	Male	High School Graduate	English	23	Neg_Morph_Lucky_Unlucky	7	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A1XKL	Male	Some college, no degree	English	31	Neg_Morph_Lucky_Unlucky	7	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A2C73	Male	High School Graduate	english	28	Neg_Morph_Lucky_Unlucky	4	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
AHYTT	Female	Bachelors degree	english	37	Neg_Morph_Lucky_Unlucky	6	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A53WV	Male	Some High School	english	26	Neg_Morph_Lucky_Unlucky	4	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A27VF	Female	High School Graduate	English	48	Neg_Morph_Lucky_Unlucky	6	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A1PMJ	Male	Bachelors degree	english	28	Neg_Morph_Lucky_Unlucky	5	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
AV5FC	Male	Some college, no degree	English	45	Neg_Morph_Lucky_Unlucky	4	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A2WHC	Female	Bachelors degree	English	53	Neg_Morph_Lucky_Unlucky	6	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A2ZDX	Male	Bachelors degree	English	30	Neg_Morph_Lucky_Unlucky	5	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A3MFK	Male	Bachelors degree	English	36	Neg_Morph_Lucky_Unlucky	4	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A3QSJ	Female	Some college, no degree	English	37	Neg_Morph_Lucky_Unlucky	6	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A2YGO	Male	Some college, no degree	english	38	Neg_Morph_Lucky_Unlucky	4	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A25FH	Female	Associates degree	english	53	Neg_Morph_Lucky_Unlucky	4	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A32LH	Female	Graduate degree (Masters, Doctorate, etc.)	English	30	Neg_Morph_Lucky_Unlucky	7	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A190P	Female	Some college, no degree	English	28	Neg_Morph_Lucky_Unlucky	7	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A1GF9	Female	Bachelors degree	english	26	Neg_Morph_Lucky_Unlucky	7	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A3OZ8	Male	Some college, no degree	English	54	Neg_Morph_Lucky_Unlucky	6	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A1OIH	Male	Bachelors degree	English	27	Neg_Morph_Lucky_Unlucky	5	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A3ARC	Male	Bachelors degree	E	40	Neg_Morph_Lucky_Unlucky	NA	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
AWVL6	Female	Bachelors degree	English	29	Neg_Morph_Lucky_Unlucky	5	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A2O7L	Male	High School Graduate	English	49	Neg_Morph_Lucky_Unlucky	5	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A2BZY	Male	High School Graduate	English	31	Neg_Morph_Lucky_Unlucky	7	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A30UE	Female	Associates degree	english	31	Neg_Morph_Lucky_Unlucky	5	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A2Q4Z	Male	Bachelors degree	English	35	Neg_Morph_Lucky_Unlucky	6	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A2915	Male	Bachelors degree	American	28	Neg_Morph_Lucky_Unlucky	6	Neg	Morph	Lucky	Unlucky	a	Lucky_Unlucky
A38RH	Female	Graduate degree (Masters, Doctorate, etc.)	english	30	Neg_Morph_Useful_Useless	7	Neg	Morph	Useful	Useless	a	Useful_Useless
A2EI0	Male	High School Graduate	English	42	Neg_Morph_Useful_Useless	7	Neg	Morph	Useful	Useless	a	Useful_Useless
A3DHA	Male	High School Graduate	English	23	Neg_Morph_Useful_Useless	6	Neg	Morph	Useful	Useless	a	Useful_Useless
A1XKL	Male	Some college, no degree	English	31	Neg_Morph_Useful_Useless	7	Neg	Morph	Useful	Useless	a	Useful_Useless
A2C73	Male	High School Graduate	english	28	Neg_Morph_Useful_Useless	4	Neg	Morph	Useful	Useless	a	Useful_Useless
AHYTT	Female	Bachelors degree	english	37	Neg_Morph_Useful_Useless	7	Neg	Morph	Useful	Useless	a	Useful_Useless
A53WV	Male	Some High School	english	26	Neg_Morph_Useful_Useless	4	Neg	Morph	Useful	Useless	a	Useful_Useless
A27VF	Female	High School Graduate	English	48	Neg_Morph_Useful_Useless	5	Neg	Morph	Useful	Useless	a	Useful_Useless
A1PMJ	Male	Bachelors degree	english	28	Neg_Morph_Useful_Useless	5	Neg	Morph	Useful	Useless	a	Useful_Useless
AV5FC	Male	Some college, no degree	English	45	Neg_Morph_Useful_Useless	5	Neg	Morph	Useful	Useless	a	Useful_Useless
A2WHC	Female	Bachelors degree	English	53	Neg_Morph_Useful_Useless	6	Neg	Morph	Useful	Useless	a	Useful_Useless
A2ZDX	Male	Bachelors degree	English	30	Neg_Morph_Useful_Useless	1	Neg	Morph	Useful	Useless	a	Useful_Useless
A3MFK	Male	Bachelors degree	English	36	Neg_Morph_Useful_Useless	4	Neg	Morph	Useful	Useless	a	Useful_Useless
A3QSJ	Female	Some college, no degree	English	37	Neg_Morph_Useful_Useless	6	Neg	Morph	Useful	Useless	a	Useful_Useless
A2YGO	Male	Some college, no degree	english	38	Neg_Morph_Useful_Useless	4	Neg	Morph	Useful	Useless	a	Useful_Useless
A25FH	Female	Associates degree	english	53	Neg_Morph_Useful_Useless	1	Neg	Morph	Useful	Useless	a	Useful_Useless
A32LH	Female	Graduate degree (Masters, Doctorate, etc.)	English	30	Neg_Morph_Useful_Useless	7	Neg	Morph	Useful	Useless	a	Useful_Useless
A190P	Female	Some college, no degree	English	28	Neg_Morph_Useful_Useless	7	Neg	Morph	Useful	Useless	a	Useful_Useless
A1GF9	Female	Bachelors degree	english	26	Neg_Morph_Useful_Useless	5	Neg	Morph	Useful	Useless	a	Useful_Useless
A3OZ8	Male	Some college, no degree	English	54	Neg_Morph_Useful_Useless	5	Neg	Morph	Useful	Useless	a	Useful_Useless
A1OIH	Male	Bachelors degree	English	27	Neg_Morph_Useful_Useless	3	Neg	Morph	Useful	Useless	a	Useful_Useless
A3ARC	Male	Bachelors degree	E	40	Neg_Morph_Useful_Useless	NA	Neg	Morph	Useful	Useless	a	Useful_Useless
AWVL6	Female	Bachelors degree	English	29	Neg_Morph_Useful_Useless	7	Neg	Morph	Useful	Useless	a	Useful_Useless
A2O7L	Male	High School Graduate	English	49	Neg_Morph_Useful_Useless	5	Neg	Morph	Useful	Useless	a	Useful_Useless
A2BZY	Male	High School Graduate	English	31	Neg_Morph_Useful_Useless	7	Neg	Morph	Useful	Useless	a	Useful_Useless
A30UE	Female	Associates degree	english	31	Neg_Morph_Useful_Useless	5	Neg	Morph	Useful	Useless	a	Useful_Useless
A2Q4Z	Male	Bachelors degree	English	35	Neg_Morph_Useful_Useless	6	Neg	Morph	Useful	Useless	a	Useful_Useless
A2915	Male	Bachelors degree	American	28	Neg_Morph_Useful_Useless	6	Neg	Morph	Useful	Useless	a	Useful_Useless
A38RH	Female	Graduate degree (Masters, Doctorate, etc.)	english	30	Neg_Nonmorph_Good_Bad	7	Neg	Nonmorph	Good	Bad	a	Good_Bad
A2EI0	Male	High School Graduate	English	42	Neg_Nonmorph_Good_Bad	4	Neg	Nonmorph	Good	Bad	a	Good_Bad
A3DHA	Male	High School Graduate	English	23	Neg_Nonmorph_Good_Bad	5	Neg	Nonmorph	Good	Bad	a	Good_Bad
A1XKL	Male	Some college, no degree	English	31	Neg_Nonmorph_Good_Bad	7	Neg	Nonmorph	Good	Bad	a	Good_Bad
A2C73	Male	High School Graduate	english	28	Neg_Nonmorph_Good_Bad	4	Neg	Nonmorph	Good	Bad	a	Good_Bad
AHYTT	Female	Bachelors degree	english	37	Neg_Nonmorph_Good_Bad	6	Neg	Nonmorph	Good	Bad	a	Good_Bad
A53WV	Male	Some High School	english	26	Neg_Nonmorph_Good_Bad	3	Neg	Nonmorph	Good	Bad	a	Good_Bad
A27VF	Female	High School Graduate	English	48	Neg_Nonmorph_Good_Bad	5	Neg	Nonmorph	Good	Bad	a	Good_Bad
A1PMJ	Male	Bachelors degree	english	28	Neg_Nonmorph_Good_Bad	6	Neg	Nonmorph	Good	Bad	a	Good_Bad
AV5FC	Male	Some college, no degree	English	45	Neg_Nonmorph_Good_Bad	5	Neg	Nonmorph	Good	Bad	a	Good_Bad
A2WHC	Female	Bachelors degree	English	53	Neg_Nonmorph_Good_Bad	4	Neg	Nonmorph	Good	Bad	a	Good_Bad
A2ZDX	Male	Bachelors degree	English	30	Neg_Nonmorph_Good_Bad	4	Neg	Nonmorph	Good	Bad	a	Good_Bad
A3MFK	Male	Bachelors degree	English	36	Neg_Nonmorph_Good_Bad	4	Neg	Nonmorph	Good	Bad	a	Good_Bad
A3QSJ	Female	Some college, no degree	English	37	Neg_Nonmorph_Good_Bad	6	Neg	Nonmorph	Good	Bad	a	Good_Bad
A2YGO	Male	Some college, no degree	english	38	Neg_Nonmorph_Good_Bad	5	Neg	Nonmorph	Good	Bad	a	Good_Bad
A25FH	Female	Associates degree	english	53	Neg_Nonmorph_Good_Bad	4	Neg	Nonmorph	Good	Bad	a	Good_Bad
A32LH	Female	Graduate degree (Masters, Doctorate, etc.)	English	30	Neg_Nonmorph_Good_Bad	7	Neg	Nonmorph	Good	Bad	a	Good_Bad
A190P	Female	Some college, no degree	English	28	Neg_Nonmorph_Good_Bad	7	Neg	Nonmorph	Good	Bad	a	Good_Bad
A1GF9	Female	Bachelors degree	english	26	Neg_Nonmorph_Good_Bad	7	Neg	Nonmorph	Good	Bad	a	Good_Bad
A3OZ8	Male	Some college, no degree	English	54	Neg_Nonmorph_Good_Bad	6	Neg	Nonmorph	Good	Bad	a	Good_Bad
A1OIH	Male	Bachelors degree	English	27	Neg_Nonmorph_Good_Bad	4	Neg	Nonmorph	Good	Bad	a	Good_Bad
A3ARC	Male	Bachelors degree	E	40	Neg_Nonmorph_Good_Bad	NA	Neg	Nonmorph	Good	Bad	a	Good_Bad
AWVL6	Female	Bachelors degree	English	29	Neg_Nonmorph_Good_Bad	6	Neg	Nonmorph	Good	Bad	a	Good_Bad
A2O7L	Male	High School Graduate	English	49	Neg_Nonmorph_Good_Bad	6	Neg	Nonmorph	Good	Bad	a	Good_Bad
